Image,Annotation,Mean_GFAP_Intensity,Mean_DAPI_Intensity,GFAP_DAPI_Ratio,Annotation_Area_mm2,Timestamp
2026_05_25__RecognizedCode_10-Scene-02-ScanRegion1_maxproj_4ch.ome.tiff,DG,1615.6644,1037.8933,1.556677,0.377,2026-07-06 20:35:19
2026_05_25__RecognizedCode_10-Scene-03-ScanRegion2_maxproj_4ch.ome.tiff,DG,1307.3223,683.6390,1.912299,0.6255,2026-07-06 20:35:36
2026_05_25__RecognizedCode_10-Scene-04-ScanRegion3_maxproj_4ch.ome.tiff,DG,1427.2419,1177.6891,1.211900,0.3021,2026-07-06 20:35:59
2026_05_25__RecognizedCode_10-Scene-05-ScanRegion4_maxproj_4ch.ome.tiff,DG,1827.8049,1238.3882,1.475955,0.4127,2026-07-06 20:36:08
2026_05_25__RecognizedCode_10-Scene-06-ScanRegion5_maxproj_4ch.ome.tiff,DG,1988.2960,1126.3904,1.765193,0.3622,2026-07-06 20:36:18
2026_05_25__RecognizedCode_10-Scene-07-ScanRegion6_maxproj_4ch.ome.tiff,DG,1749.9462,1439.7703,1.215434,0.3589,2026-07-06 20:36:27
2026_05_25__RecognizedCode_10-Scene-08-ScanRegion7_maxproj_4ch.ome.tiff,DG,1617.2714,1141.2292,1.417131,0.4683,2026-07-06 20:36:36
2026_05_25__RecognizedCode_10-Scene-09-ScanRegion8_maxproj_4ch.ome.tiff,DG,1688.9965,1339.1838,1.261213,0.4108,2026-07-06 20:36:46
2026_05_25__RecognizedCode_10-Scene-10-ScanRegion9_maxproj_4ch.ome.tiff,DG,1754.1605,1309.0803,1.339995,0.4053,2026-07-06 20:36:58
2026_05_25__RecognizedCode_10-Scene-12-ScanRegion11_maxproj_4ch.ome.tiff,DG,2059.4345,1155.7456,1.781910,0.3984,2026-07-06 20:37:11
2026_05_25__RecognizedCode_11-Scene-01-ScanRegion0_maxproj_4ch.ome.tiff,DG,2066.4076,1477.6326,1.398458,0.3229,2026-07-06 20:37:27
2026_05_25__RecognizedCode_11-Scene-02-ScanRegion1_maxproj_4ch.ome.tiff,DG,2459.3348,1356.4184,1.813109,0.3174,2026-07-06 20:37:42
2026_05_25__RecognizedCode_11-Scene-03-ScanRegion2_maxproj_4ch.ome.tiff,DG,1992.5547,1527.2668,1.304654,0.3666,2026-07-06 20:37:52
2026_05_25__RecognizedCode_11-Scene-04-ScanRegion3_maxproj_4ch.ome.tiff,DG,2043.6405,1237.9037,1.650888,0.3787,2026-07-06 20:38:02
2026_05_25__RecognizedCode_11-Scene-06-ScanRegion5_maxproj_4ch.ome.tiff,DG,2459.4603,1328.9211,1.850720,0.3303,2026-07-06 20:38:22
2026_05_25__RecognizedCode_11-Scene-07-ScanRegion6_maxproj_4ch.ome.tiff,DG,2054.7827,1289.0610,1.594015,0.4375,2026-07-06 20:38:32
2026_05_25__RecognizedCode_11-Scene-08-ScanRegion7_maxproj_4ch.ome.tiff,DG,2576.2272,1455.5422,1.769943,0.307,2026-07-06 20:38:44
2026_05_25__RecognizedCode_11-Scene-09-ScanRegion8_maxproj_4ch.ome.tiff,DG,2170.5008,1507.2070,1.440081,0.3666,2026-07-06 20:38:56
2026_05_25__RecognizedCode_11-Scene-10-ScanRegion9_maxproj_4ch.ome.tiff,DG,1837.0478,981.9176,1.870878,0.8757,2026-07-06 20:39:05
2026_05_25__RecognizedCode_11-Scene-11-ScanRegion10_maxproj_4ch.ome.tiff,DG,1938.3554,1409.8379,1.374878,0.4107,2026-07-06 20:39:21
2026_05_25__RecognizedCode_11-Scene-12-ScanRegion11_maxproj_4ch.ome.tiff,DG,2205.7108,1424.1245,1.548819,0.4012,2026-07-06 20:39:35
2026_05_25__RecognizedCode_11-Scene-13-ScanRegion12_maxproj_4ch.ome.tiff,DG,2275.3481,1212.8660,1.876009,0.7105,2026-07-06 20:39:53
2026_05_25__RecognizedCode_12-Scene-01-ScanRegion0_maxproj_4ch.ome.tiff,DG,1616.0532,699.3441,2.310813,0.3837,2026-07-06 20:40:33
2026_05_25__RecognizedCode_12-Scene-02-ScanRegion1_maxproj_4ch.ome.tiff,DG,1577.7703,558.8984,2.823000,0.4666,2026-07-06 20:40:52
2026_05_25__RecognizedCode_12-Scene-03-ScanRegion2_maxproj_4ch.ome.tiff,DG,1642.5302,764.4828,2.148551,0.276,2026-07-06 20:41:07
