Image,Annotation,Mean_GFAP_Intensity,Annotation_Area_mm2,Timestamp
2026_05_25__RecognizedCode_11-Scene-07-ScanRegion6_maxproj_4ch.ome.tiff,DG,2054.7827,0.4375,2026-06-30 22:34:06
2026_05_25__RecognizedCode_11-Scene-08-ScanRegion7_maxproj_4ch.ome.tiff,DG,2576.2272,0.307,2026-06-30 22:34:18
2026_05_25__RecognizedCode_11-Scene-09-ScanRegion8_maxproj_4ch.ome.tiff,DG,2170.5008,0.3666,2026-06-30 22:34:27
2026_05_25__RecognizedCode_11-Scene-10-ScanRegion9_maxproj_4ch.ome.tiff,DG,1837.0478,0.8757,2026-06-30 22:34:34
2026_05_25__RecognizedCode_11-Scene-11-ScanRegion10_maxproj_4ch.ome.tiff,DG,1938.3554,0.4107,2026-06-30 22:34:56
2026_05_25__RecognizedCode_11-Scene-12-ScanRegion11_maxproj_4ch.ome.tiff,DG,2205.7108,0.4012,2026-06-30 22:35:05
2026_05_25__RecognizedCode_11-Scene-13-ScanRegion12_maxproj_4ch.ome.tiff,DG,2275.3481,0.7105,2026-06-30 22:35:13
2026_05_25__RecognizedCode_12-Scene-01-ScanRegion0_maxproj_4ch.ome.tiff,DG,1616.0532,0.3837,2026-06-30 22:35:31
2026_05_25__RecognizedCode_12-Scene-02-ScanRegion1_maxproj_4ch.ome.tiff,DG,1577.7703,0.4666,2026-06-30 22:35:43
2026_05_25__RecognizedCode_12-Scene-03-ScanRegion2_maxproj_4ch.ome.tiff,DG,1642.5302,0.276,2026-06-30 22:35:55
2026_05_25__RecognizedCode_12-Scene-04-ScanRegion3_maxproj_4ch.ome.tiff,DG,1621.2155,0.3698,2026-06-30 22:36:03
2026_05_25__RecognizedCode_12-Scene-05-ScanRegion4_maxproj_4ch.ome.tiff,DG,1717.6869,0.2666,2026-06-30 22:36:18
2026_05_25__RecognizedCode_12-Scene-06-ScanRegion5_maxproj_4ch.ome.tiff,DG,1786.0740,0.2818,2026-06-30 22:36:36
2026_05_25__RecognizedCode_12-Scene-07-ScanRegion6_maxproj_4ch.ome.tiff,DG,854.2992,0.4135,2026-06-30 22:37:03
2026_05_25__RecognizedCode_12-Scene-08-ScanRegion7_maxproj_4ch.ome.tiff,DG,1005.7663,0.3986,2026-06-30 22:37:18
2026_05_25__RecognizedCode_12-Scene-09-ScanRegion8_maxproj_4ch.ome.tiff,DG,1527.1950,0.3863,2026-06-30 22:37:29
2026_05_25__RecognizedCode_12-Scene-10-ScanRegion9_maxproj_4ch.ome.tiff,DG,1694.5745,0.6918,2026-06-30 22:37:40
2026_05_25__RecognizedCode_01-Scene-03-ScanRegion2_maxproj_4ch.ome.tiff,DG,120.3113,1.4602,2026-06-30 22:37:58
2026_05_25__RecognizedCode_01-Scene-05-ScanRegion4_maxproj_4ch.ome.tiff,DG,2389.0531,0.3014,2026-06-30 22:38:11
2026_05_25__RecognizedCode_01-Scene-06-ScanRegion5_maxproj_4ch.ome.tiff,DG,2396.2881,0.3667,2026-06-30 22:38:24
2026_05_25__RecognizedCode_01-Scene-07-ScanRegion6_maxproj_4ch.ome.tiff,DG,2220.2502,0.362,2026-06-30 22:38:40
2026_05_25__RecognizedCode_01-Scene-08-ScanRegion7_maxproj_4ch.ome.tiff,DG,2234.4225,0.3346,2026-06-30 22:38:53
2026_05_25__RecognizedCode_01-Scene-09-ScanRegion8_maxproj_4ch.ome.tiff,DG,2155.5471,0.4017,2026-06-30 22:39:09
2026_05_25__RecognizedCode_01-Scene-10-ScanRegion9_maxproj_4ch.ome.tiff,DG,2269.2621,0.3822,2026-06-30 22:39:24
2026_05_25__RecognizedCode_01-Scene-11-ScanRegion10_maxproj_4ch.ome.tiff,DG,2190.7629,0.3957,2026-06-30 22:39:34
2026_05_25__RecognizedCode_01-Scene-12-ScanRegion11_maxproj_4ch.ome.tiff,DG,1826.8934,0.8962,2026-06-30 22:39:44
2026_05_25__RecognizedCode_01-Scene-13-ScanRegion12_maxproj_4ch.ome.tiff,DG,2228.5733,0.5307,2026-06-30 22:40:02
2026_05_25__RecognizedCode_02-Scene-01-ScanRegion0_maxproj_4ch.ome.tiff,DG,3345.9097,0.4067,2026-06-30 22:40:21
2026_05_25__RecognizedCode_02-Scene-02-ScanRegion1_maxproj_4ch.ome.tiff,DG,3192.1402,0.4421,2026-06-30 22:40:36
2026_05_25__RecognizedCode_02-Scene-03-ScanRegion2_maxproj_4ch.ome.tiff,DG,2946.0390,0.313,2026-06-30 22:40:49
2026_05_25__RecognizedCode_02-Scene-04-ScanRegion3_maxproj_4ch.ome.tiff,DG,1026.6988,0.3238,2026-06-30 22:41:02
2026_05_25__RecognizedCode_02-Scene-05-ScanRegion4_maxproj_4ch.ome.tiff,DG,2998.4900,0.3839,2026-06-30 22:41:18
2026_05_25__RecognizedCode_02-Scene-06-ScanRegion5_maxproj_4ch.ome.tiff,DG,3873.7912,0.2849,2026-06-30 22:41:29
2026_05_25__RecognizedCode_02-Scene-07-ScanRegion6_maxproj_4ch.ome.tiff,DG,2862.2520,0.2924,2026-06-30 22:41:39
2026_05_25__RecognizedCode_02-Scene-08-ScanRegion7_maxproj_4ch.ome.tiff,DG,3381.7075,0.3155,2026-06-30 22:41:50
2026_05_25__RecognizedCode_02-Scene-09-ScanRegion8_maxproj_4ch.ome.tiff,DG,2859.4443,0.4051,2026-06-30 22:41:57
