Image,Annotation,Mean_GFAP_Intensity,Background_Intensity,Mean_GFAP_Corrected,Annotation_Area_mm2,Timestamp
2026_05_25__RecognizedCode_08-Scene-04-ScanRegion3_maxproj_4ch.ome.tiff,DG,2687.8751,863.7788,1824.0963,0.2526,2026-07-06 12:46:42
2026_05_25__RecognizedCode_08-Scene-05-ScanRegion4_maxproj_4ch.ome.tiff,DG,2669.8203,946.9899,1722.8304,0.336,2026-07-06 12:46:47
2026_05_25__RecognizedCode_08-Scene-06-ScanRegion5_maxproj_4ch.ome.tiff,DG,2602.4092,953.8383,1648.5709,0.3701,2026-07-06 12:46:54
2026_05_25__RecognizedCode_08-Scene-07-ScanRegion6_maxproj_4ch.ome.tiff,DG,2652.5768,874.8197,1777.7571,0.3776,2026-07-06 12:47:00
2026_05_25__RecognizedCode_08-Scene-08-ScanRegion7_maxproj_4ch.ome.tiff,DG,2969.3897,853.6654,2115.7242,0.362,2026-07-06 12:47:04
2026_05_25__RecognizedCode_08-Scene-09-ScanRegion8_maxproj_4ch.ome.tiff,DG,2361.2226,747.2618,1613.9609,0.9157,2026-07-06 12:47:10
2026_05_25__RecognizedCode_08-Scene-10-ScanRegion9_maxproj_4ch.ome.tiff,DG,2392.2054,649.9427,1742.2627,1.3433,2026-07-06 12:47:17
2026_05_25__RecognizedCode_08-Scene-11-ScanRegion10_maxproj_4ch.ome.tiff,DG,2636.6588,850.6686,1785.9902,0.4012,2026-07-06 12:47:26
2026_05_25__RecognizedCode_08-Scene-12-ScanRegion11_maxproj_4ch.ome.tiff,DG,2471.0314,742.7065,1728.3248,0.4087,2026-07-06 12:47:32
2026_05_25__RecognizedCode_08-Scene-13-ScanRegion12_maxproj_4ch.ome.tiff,DG,2430.1315,831.5481,1598.5834,0.4699,2026-07-06 12:47:37
2026_05_25__RecognizedCode_08-Scene-14-ScanRegion13_maxproj_4ch.ome.tiff,DG,2268.9727,305.7018,1963.2708,0.4645,2026-07-06 12:47:43
2026_05_25__RecognizedCode_08-Scene-15-ScanRegion14_maxproj_4ch.ome.tiff,DG,2647.3467,986.3146,1661.0321,0.3627,2026-07-06 12:47:49
2026_05_25__RecognizedCode_08-Scene-16-ScanRegion15_maxproj_4ch.ome.tiff,DG,2717.3790,1028.5951,1688.7840,0.3496,2026-07-06 12:47:54
2026_05_25__RecognizedCode_09-Scene-01-ScanRegion0_maxproj_4ch.ome.tiff,DG,4300.8881,397.2600,3903.6282,0.3166,2026-07-06 12:47:59
2026_05_25__RecognizedCode_09-Scene-02-ScanRegion1_maxproj_4ch.ome.tiff,DG,2853.1842,336.6600,2516.5241,0.7681,2026-07-06 12:48:04
2026_05_25__RecognizedCode_09-Scene-04-ScanRegion3_maxproj_4ch.ome.tiff,DG,4611.7733,1573.6596,3038.1137,0.3592,2026-07-06 12:48:13
2026_05_25__RecognizedCode_09-Scene-05-ScanRegion4_maxproj_4ch.ome.tiff,DG,651.0194,278.9975,372.0218,0.7023,2026-07-06 12:48:18
2026_05_25__RecognizedCode_09-Scene-06-ScanRegion5_maxproj_4ch.ome.tiff,D,4305.9081,1453.7857,2852.1223,0.3999,2026-07-06 12:48:24
2026_05_25__RecognizedCode_09-Scene-07-ScanRegion6_maxproj_4ch.ome.tiff,DG,4596.0483,1363.2574,3232.7909,0.2941,2026-07-06 12:48:29
2026_05_25__RecognizedCode_09-Scene-08-ScanRegion7_maxproj_4ch.ome.tiff,DG,3602.6297,313.0078,3289.6219,0.4505,2026-07-06 12:48:33
2026_05_25__RecognizedCode_09-Scene-09-ScanRegion8_maxproj_4ch.ome.tiff,DG,4158.4268,341.4357,3816.9911,0.5431,2026-07-06 12:48:39
2026_05_25__RecognizedCode_10-Scene-01-ScanRegion0_maxproj_4ch.ome.tiff,DG,1780.8943,590.0045,1190.8898,0.4481,2026-07-06 12:48:46
2026_05_25__RecognizedCode_10-Scene-02-ScanRegion1_maxproj_4ch.ome.tiff,DG,1615.6644,665.6077,950.0567,0.377,2026-07-06 12:48:50
2026_05_25__RecognizedCode_10-Scene-03-ScanRegion2_maxproj_4ch.ome.tiff,DG,1307.3223,271.8710,1035.4513,0.6255,2026-07-06 12:48:55
2026_05_25__RecognizedCode_10-Scene-04-ScanRegion3_maxproj_4ch.ome.tiff,DG,1427.2419,620.6691,806.5727,0.3021,2026-07-06 12:49:02
2026_05_25__RecognizedCode_10-Scene-05-ScanRegion4_maxproj_4ch.ome.tiff,DG,1827.8049,653.7124,1174.0926,0.4127,2026-07-06 12:49:06
2026_05_25__RecognizedCode_10-Scene-06-ScanRegion5_maxproj_4ch.ome.tiff,DG,1988.2960,693.5177,1294.7783,0.3622,2026-07-06 12:49:11
2026_05_25__RecognizedCode_10-Scene-07-ScanRegion6_maxproj_4ch.ome.tiff,DG,1749.9462,726.5631,1023.3831,0.3589,2026-07-06 12:49:16
2026_05_25__RecognizedCode_10-Scene-09-ScanRegion8_maxproj_4ch.ome.tiff,DG,1688.9965,650.8249,1038.1715,0.4108,2026-07-06 12:49:22
2026_05_25__RecognizedCode_10-Scene-10-ScanRegion9_maxproj_4ch.ome.tiff,DG,1754.1605,375.9387,1378.2218,0.4053,2026-07-06 12:49:27
2026_05_25__RecognizedCode_10-Scene-12-ScanRegion11_maxproj_4ch.ome.tiff,DG,2059.4345,593.9493,1465.4853,0.3984,2026-07-06 12:49:35
2026_05_25__RecognizedCode_11-Scene-01-ScanRegion0_maxproj_4ch.ome.tiff,DG,2066.4076,782.1796,1284.2280,0.3229,2026-07-06 12:49:41
2026_05_25__RecognizedCode_11-Scene-02-ScanRegion1_maxproj_4ch.ome.tiff,DG,2459.3348,826.2585,1633.0763,0.3174,2026-07-06 12:49:46
2026_05_25__RecognizedCode_11-Scene-03-ScanRegion2_maxproj_4ch.ome.tiff,DG,1992.5547,758.4559,1234.0988,0.3666,2026-07-06 12:49:50
2026_05_25__RecognizedCode_11-Scene-04-ScanRegion3_maxproj_4ch.ome.tiff,DG,2043.6405,812.5515,1231.0890,0.3787,2026-07-06 12:49:55
2026_05_25__RecognizedCode_11-Scene-06-ScanRegion5_maxproj_4ch.ome.tiff,DG,2459.4603,789.6305,1669.8298,0.3303,2026-07-06 12:50:04
2026_05_25__RecognizedCode_11-Scene-07-ScanRegion6_maxproj_4ch.ome.tiff,DG,2054.7827,348.6300,1706.1527,0.4375,2026-07-06 12:50:08
2026_05_25__RecognizedCode_11-Scene-08-ScanRegion7_maxproj_4ch.ome.tiff,DG,2576.2272,804.1948,1772.0324,0.307,2026-07-06 12:50:13
2026_05_25__RecognizedCode_11-Scene-09-ScanRegion8_maxproj_4ch.ome.tiff,DG,2170.5008,767.3662,1403.1346,0.3666,2026-07-06 12:50:18
2026_05_25__RecognizedCode_11-Scene-10-ScanRegion9_maxproj_4ch.ome.tiff,DG,1837.0478,390.7332,1446.3145,0.8757,2026-07-06 12:50:22
2026_05_25__RecognizedCode_11-Scene-11-ScanRegion10_maxproj_4ch.ome.tiff,DG,1938.3554,706.9602,1231.3953,0.4107,2026-07-06 12:50:31
2026_05_25__RecognizedCode_11-Scene-12-ScanRegion11_maxproj_4ch.ome.tiff,DG,2205.7108,762.4095,1443.3013,0.4012,2026-07-06 12:50:36
2026_05_25__RecognizedCode_11-Scene-13-ScanRegion12_maxproj_4ch.ome.tiff,DG,2275.3481,815.9712,1459.3768,0.7105,2026-07-06 12:50:41
