Image,Annotation,Astrocyte_Count,Annotation_Area_mm2,Astrocytes_per_mm2
2026_05_25__RecognizedCode_09-Scene-07-ScanRegion6_maxproj,DG,812,0.6176,1314.70,2026-06-18 21:31:10
2026_05_25__RecognizedCode_09-Scene-08-ScanRegion7_maxproj,DG,1148,0.9463,1213.18,2026-06-18 21:31:35
2026_05_25__RecognizedCode_09-Scene-09-ScanRegion8_maxproj,DG,1238,1.1407,1085.25,2026-06-18 21:31:57
2026_05_25__RecognizedCode_10-Scene-01-ScanRegion0_maxproj,DG,768,0.9411,816.02,2026-06-18 21:32:18
2026_05_25__RecognizedCode_10-Scene-02-ScanRegion1_maxproj,DG,522,0.7919,659.16,2026-06-18 21:32:40
2026_05_25__RecognizedCode_10-Scene-03-ScanRegion2_maxproj,DG,1245,1.3138,947.65,2026-06-18 21:33:05
2026_05_25__RecognizedCode_10-Scene-04-ScanRegion3_maxproj,DG,369,0.6345,581.55,2026-06-18 21:33:21
2026_05_25__RecognizedCode_10-Scene-05-ScanRegion4_maxproj,DG,357,0.8669,411.82,2026-06-18 21:33:40
2026_05_25__RecognizedCode_10-Scene-06-ScanRegion5_maxproj,DG,716,0.7607,941.27,2026-06-18 21:33:58
2026_05_25__RecognizedCode_10-Scene-07-ScanRegion6_maxproj,DG,738,0.7539,978.97,2026-06-18 21:34:16
2026_05_25__RecognizedCode_10-Scene-08-ScanRegion7_maxproj,DG,718,0.9836,729.95,2026-06-18 21:34:37
2026_05_25__RecognizedCode_10-Scene-09-ScanRegion8_maxproj,DG,769,0.8628,891.33,2026-06-18 21:35:00
2026_05_25__RecognizedCode_10-Scene-10-ScanRegion9_maxproj,DG,855,0.8512,1004.46,2026-06-18 21:35:27
2026_05_25__RecognizedCode_10-Scene-12-ScanRegion11_maxproj,DG,720,0.8367,860.52,2026-06-18 21:35:52
2026_05_25__RecognizedCode_11-Scene-01-ScanRegion0_maxproj,DG,389,0.6782,573.59,2026-06-18 21:36:18
2026_05_25__RecognizedCode_11-Scene-02-ScanRegion1_maxproj,DG,484,0.6667,725.98,2026-06-18 21:36:42
2026_05_25__RecognizedCode_11-Scene-03-ScanRegion2_maxproj,DG,626,0.7701,812.92,2026-06-18 21:36:59
2026_05_25__RecognizedCode_11-Scene-04-ScanRegion3_maxproj,DG,449,0.7955,564.41,2026-06-18 21:37:24
2026_05_25__RecognizedCode_11-Scene-05-ScanRegion4_maxproj,DG,411,0.5964,689.08,2026-06-18 21:37:40
2026_05_25__RecognizedCode_11-Scene-06-ScanRegion5_maxproj,DG,471,0.6937,679.00,2026-06-18 21:38:03
2026_05_25__RecognizedCode_11-Scene-07-ScanRegion6_maxproj,DG,683,0.9188,743.34,2026-06-18 21:38:26
2026_05_25__RecognizedCode_11-Scene-08-ScanRegion7_maxproj,DG,444,0.6448,688.62,2026-06-18 21:38:47
