Image,Annotation,Nestin_Count,Nestin_Density_per_mm2,Nestin_Intensity_Threshold,SGZ_Area_mm2,Timestamp
2026_05_29__RecognizedCode_03-Scene-11-ScanRegion10_maxproj_4ch,SGZ,40,399.60,500.0,0.1001,2026-07-22 13:28:10
2026_05_29__RecognizedCode_03-Scene-12-ScanRegion11_maxproj_4ch,SGZ,35,462.96,500.0,0.0756,2026-07-22 13:28:21
2026_05_29__RecognizedCode_03-Scene-13-ScanRegion12_maxproj_4ch,SGZ,114,545.19,500.0,0.2091,2026-07-22 13:28:39
2026_05_29__RecognizedCode_04-Scene-01-ScanRegion0_maxproj_4ch,SGZ,14,524.34,500.0,0.0267,2026-07-22 13:28:49
2026_05_29__RecognizedCode_04-Scene-02-ScanRegion1_maxproj_4ch,SGZ,24,727.27,500.0,0.033,2026-07-22 13:28:58
2026_05_29__RecognizedCode_04-Scene-03-ScanRegion2_maxproj_4ch,SGZ,26,515.87,500.0,0.0504,2026-07-22 13:29:09
2026_05_29__RecognizedCode_04-Scene-04-ScanRegion3_maxproj_4ch,SGZ,35,365.73,500.0,0.0957,2026-07-22 13:29:23
2026_05_29__RecognizedCode_04-Scene-05-ScanRegion4_maxproj_4ch,SGZ,31,688.89,500.0,0.045,2026-07-22 13:29:39
2026_05_29__RecognizedCode_04-Scene-06-ScanRegion5_maxproj_4ch,SGZ,29,381.58,500.0,0.076,2026-07-22 13:30:06
2026_05_29__RecognizedCode_04-Scene-07-ScanRegion6_maxproj_4ch,SGZ,43,612.54,500.0,0.0702,2026-07-22 13:30:58
2026_05_29__RecognizedCode_04-Scene-08-ScanRegion7_maxproj_4ch,SGZ,28,566.80,500.0,0.0494,2026-07-22 13:31:19
2026_05_29__RecognizedCode_04-Scene-09-ScanRegion8_maxproj_4ch,SGZ,30,587.08,500.0,0.0511,2026-07-22 13:31:44
2026_05_29__RecognizedCode_04-Scene-10-ScanRegion9_maxproj_4ch,SGZ,25,382.85,500.0,0.0653,2026-07-22 13:32:08
2026_05_29__RecognizedCode_04-Scene-11-ScanRegion10_maxproj_4ch,SGZ,45,728.16,500.0,0.0618,2026-07-22 13:32:46
2026_05_29__RecognizedCode_04-Scene-12-ScanRegion11_maxproj_4ch,SGZ,27,461.54,500.0,0.0585,2026-07-22 13:33:15
2026_05_29__RecognizedCode_04-Scene-14-ScanRegion13_maxproj_4ch,SGZ,35,527.11,500.0,0.0664,2026-07-22 13:33:58
2026_05_29__RecognizedCode_04-Scene-15-ScanRegion14_maxproj_4ch,SGZ,82,351.63,500.0,0.2332,2026-07-22 13:34:51
2026_05_29__RecognizedCode_05-Scene-01-ScanRegion0_maxproj_4ch,SGZ,45,583.66,500.0,0.0771,2026-07-22 13:35:05
2026_05_29__RecognizedCode_05-Scene-02-ScanRegion1_maxproj_4ch,SGZ,64,733.10,500.0,0.0873,2026-07-22 13:35:19
2026_05_29__RecognizedCode_05-Scene-03-ScanRegion2_maxproj_4ch,SGZ,56,450.16,500.0,0.1244,2026-07-22 13:35:37
2026_05_29__RecognizedCode_05-Scene-04-ScanRegion3_maxproj_4ch,SGZ,41,691.40,500.0,0.0593,2026-07-22 13:35:52
2026_05_29__RecognizedCode_05-Scene-05-ScanRegion4_maxproj_4ch,SGZ,11,476.19,500.0,0.0231,2026-07-22 13:36:01
2026_05_29__RecognizedCode_05-Scene-06-ScanRegion5_maxproj_4ch,SGZ,15,576.92,500.0,0.026,2026-07-22 13:36:09
2026_05_29__RecognizedCode_05-Scene-07-ScanRegion6_maxproj_4ch,SGZ,29,415.47,500.0,0.0698,2026-07-22 13:36:19
2026_05_29__RecognizedCode_05-Scene-08-ScanRegion7_maxproj_4ch,SGZ,53,443.89,500.0,0.1194,2026-07-22 13:36:37
